OBJECTID,TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
476195,476195,41202.78542,Commonwealth Ave Boston Ma,-71.115972,42.351053
478678,478678,41199.67639,710 Boylston St Boston Ma 02116,-71.079842,42.349472
481141,481141,41202.98819,I-90 @ Boylston St Boston Ma,-71.084212,42.347922
483565,483565,41197.98472,N351 Boston Ma,-71.021,42.36817
486022,486022,41203.09097,500 Washington St Boston Ma 02135,-71.160982,42.348937
488502,488502,41204.83264,750 Boylston St Boston Ma 02116,-71.080978,42.349105
490974,490974,41191.77917,Unnamed Road Boston Ma,-71.019077,42.362842
493465,493465,41203.65278,Unnamed Road Boston Ma,-71.018723,42.369008
495946,495946,41203.36667,380 Huntington Ave Boston Ma,-71.090568,42.339865
498448,498448,41204.46806,Unnamed Road Boston Ma,-71.01833,42.369213
500929,500929,41191.96875,Unnamed Road Boston Ma,-71.01853,42.368867
503441,503441,41195.75417,50 Atlantic Ave Boston Ma 02110,-71.05108,42.363055
505882,505882,41205.77778,Unnamed Road Boston Ma,-71.016728,42.365895
508391,508391,41193.91458,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095523,42.348713
510934,510934,41204.58819,Unnamed Road Boston Ma,-71.02204,42.365467
513452,513452,41203.75764,330 Hanover St Boston Ma 02113,-71.053542,42.364783
515903,515903,41204.79097,30 Federal St Boston Ma 02110,-71.056805,42.35633
518347,518347,41204.86111,120 Tremont St Boston Ma 02108,-71.061592,42.356742
520842,520842,41200.90139,688 Atlantic Ave Boston Ma 02111,-71.05542,42.35189
523340,523340,41199.73819,1220 Commonwealth Ave Boston Ma,-71.130885,42.350607
525875,525875,41205.67083,640 Boylston St Boston Ma 02116,-71.077815,42.35006
528333,528333,41205.65208,30 Oliver St Boston Ma 02110,-71.054198,42.356877
530799,530799,41194.94931,40 Union St Boston Ma,-71.057172,42.36114
533250,533250,41205.80833,30 Matthews St Boston Ma 02110,-71.055472,42.354937
535738,535738,41203.69236,Unnamed Road Boston Ma,-71.056068,42.362703
538207,538207,41205.89444,750 Boylston St Boston Ma 02116,-71.080897,42.349117
540619,540619,41205.60903,230 Dartmouth St Boston Ma 02116,-71.077098,42.349695
543070,543070,41207.23194,26 Arlington St Boston Ma 02116,-71.070338,42.351507
545561,545561,41197.87917,Unnamed Road Boston Ma,-71.019668,42.362253
547967,547967,41194.85903,764 Boylston St Boston Ma 02116,-71.081505,42.348922
550383,550383,41206.92778,104 Causeway St Boston Ma 02114,-71.061722,42.365345
552798,552798,41197.79722,780 Washington St Boston Ma 02111,-71.063852,42.349833
555255,555255,41206.86181,Charles St @ Fruit St Boston Ma,-71.070668,42.362403
557725,557725,41207.57639,80 School St Boston Ma 02108,-71.059987,42.358043
560188,560188,41206.70208,Unnamed Road Boston Ma,-71.022593,42.365555
562641,562641,41209.00764,Stuart St @ Eliot St Boston Ma 02116,-71.06743,42.350912
565107,565107,41207.78681,10 Lancaster St Boston Ma 02114,-71.061863,42.363708
567570,567570,41207.66111,Unnamed Road Boston Ma,-71.018553,42.369225
570031,570031,41200.84306,720 Atlantic Ave Boston Ma 02111,-71.056137,42.351505
572456,572456,41209.64792,840 Boylston St Boston Ma 02199,-71.082907,42.348508
574937,574937,41207.75625,250 Franklin St Boston Ma 02110,-71.05447,42.356438
577373,577373,41197.56597,770 Atlantic Ave Boston Ma 02111,-71.056602,42.350023
579810,579810,41207.90833,Unnamed Road Boston Ma,-71.018062,42.362313
582223,582223,41200.97986,Unnamed Road Boston Ma,-71.01682,42.365813
584666,584666,41195.60069,1300 Boylston St Boston Ma 02215,-71.097535,42.344547
587159,587159,41208.42083,40 Devonshire St Boston Ma 02109,-71.057297,42.358495
589632,589632,41208.92917,1220 Commonwealth Ave Boston Ma,-71.130928,42.350608
592098,592098,41201.48542,90 Somerset St Boston Ma 02108,-71.061127,42.360747
594584,594584,41210.59236,720 Boylston St Boston Ma 02116,-71.08005,42.349452
597118,597118,41209.42153,575 Tremont St Boston Ma 02118,-71.072648,42.343427
599672,599672,41208.79931,Milton Pl Boston Ma,-71.057478,42.35358
602188,602188,41202.46181,720 E Broadway Boston Ma 02127,-71.036567,42.335523
604708,604708,41195.99375,398 A St Boston Ma 02210,-71.048458,42.35033
607208,607208,41208.99444,180 Bedford St Boston Ma 02111,-71.057987,42.353417
609762,609762,41211.8625,10 Hudson St Boston Ma 02111,-71.060048,42.351153
612306,612306,41209.7375,Unnamed Road Boston Ma,-71.041015,42.348993
614776,614776,41209.80833,18 Avery St Boston Ma 02111,-71.063312,42.353315
617180,617180,41209.97431,110 State St Boston Ma 02109,-71.054972,42.359088
619676,619676,41210.67431,170 Tremont St Boston Ma 02111,-71.063854,42.35396
622181,622181,41209.20833,26 Arlington St Boston Ma 02116,-71.070253,42.351487
624669,624669,41210.34375,80 School St Boston Ma 02108,-71.0601,42.35795
627208,627208,41209.82986,30 Water St Boston Ma 02109,-71.056733,42.357563
629707,629707,41210.40764,110 Stuart St Boston Ma 02116,-71.065423,42.351212
632216,632216,41211.67569,830 Boylston St Boston Ma 02199,-71.082577,42.348342
634757,634757,41203.95208,Unnamed Road Boston Ma,-71.01829,42.364085
637296,637296,41203.79167,1220 Commonwealth Ave Boston Ma,-71.130917,42.350617
639835,639835,41213.98889,870 Beacon St Boston Ma,-71.104737,42.346678
642348,642348,41210.11042,430 Massachusetts Ave Boston Ma 02118,-71.08226,42.34103
644876,644876,41197.46944,10 Fruit St Boston Ma 02114,-71.068975,42.362528
647365,647365,41210.85486,53 Fargo St Boston Ma 02210,-71.043495,42.346195
